id,name,declaryngType,methodDescriptor,returnType,numArgument,hasConstants 
2025970710,remove,"Map<PerfCounter,CloseableHANDLEByReference>",(Ljava/lang/Object;)Loshi/jna/ByRef$CloseableHANDLEByReference;,CloseableHANDLEByReference,1,0
2025970710,put,"Map<Integer,IFdata>",(Ljava/lang/Integer;Loshi/driver/mac/net/NetStat$IFdata;)Loshi/driver/mac/net/NetStat$IFdata;,IFdata,2,0
2025970710,put,"Map<Integer,PerfCounterBlock>",(Ljava/lang/Integer;Loshi/driver/windows/registry/ProcessPerformanceData$PerfCounterBlock;)Loshi/driver/windows/registry/ProcessPerformanceData$PerfCounterBlock;,PerfCounterBlock,2,0
2025970710,put,"Map<Integer,WtsInfo>",(Ljava/lang/Integer;Loshi/driver/windows/registry/ProcessWtsData$WtsInfo;)Loshi/driver/windows/registry/ProcessWtsData$WtsInfo;,WtsInfo,2,0
2025970710,put,"Map<Integer,PerfCounterBlock>",(Ljava/lang/Integer;Loshi/driver/windows/registry/ThreadPerformanceData$PerfCounterBlock;)Loshi/driver/windows/registry/ThreadPerformanceData$PerfCounterBlock;,PerfCounterBlock,2,0
2025970710,put,"Map<String,OSFileStore>",(Ljava/lang/String;Loshi/software/os/OSFileStore;)Loshi/software/os/OSFileStore;,OSFileStore,2,0
2025970710,put,"Map<Integer,SMCKeyDataKeyInfo>",(Ljava/lang/Integer;Loshi/jna/platform/mac/IOKit$SMCKeyDataKeyInfo;)Loshi/jna/platform/mac/IOKit$SMCKeyDataKeyInfo;,SMCKeyDataKeyInfo,2,0
2025970710,put,"EnumMap<T,PerfCounter>",(Loshi/util/platform/windows/T;Loshi/util/platform/windows/PerfDataUtil$PerfCounter;)Loshi/util/platform/windows/PerfDataUtil$PerfCounter;,PerfCounter,2,0
2025970710,put,"Map<PerfCounter,CloseableHANDLEByReference>",(Loshi/util/platform/windows/PerfDataUtil$PerfCounter;Loshi/jna/ByRef$CloseableHANDLEByReference;)Loshi/jna/ByRef$CloseableHANDLEByReference;,CloseableHANDLEByReference,2,0
2025970710,put,"Map<Integer,OSProcess>",(Ljava/lang/Integer;Loshi/software/os/OSProcess;)Loshi/software/os/OSProcess;,OSProcess,2,0
2025970710,getProcess,OperatingSystem,(I)Loshi/software/os/OSProcess;,OSProcess,1,0
2025970710,open,CLibrary,(Ljava/lang/String;I)I,int,2,0
2025970710,open,CLibrary,(Ljava/lang/String;I)I,int,2,1
2025970710,sysctlbyname,CLibrary,(Ljava/lang/String;Lcom/sun/jna/Pointer;Lcom/sun/jna/platform/unix/LibCAPI$size_t$ByReference;Lcom/sun/jna/Pointer;Lcom/sun/jna/platform/unix/LibCAPI$size_t;)I,int,5,0
2025970710,sysctl,CLibrary,([IILcom/sun/jna/Pointer;Lcom/sun/jna/platform/unix/LibCAPI$size_t$ByReference;Lcom/sun/jna/Pointer;Lcom/sun/jna/platform/unix/LibCAPI$size_t;)I,int,6,0
2025970710,getFileStores,FileSystem,(Z)Ljava/util/List;,List<OSFileStore>,1,0
2025970710,getFileStores,FileSystem,(Z)Ljava/util/List;,List<OSFileStore>,1,1
2025970710,orElse,Optional<IfOperStatus>,(Loshi/hardware/NetworkIF$IfOperStatus;)Loshi/hardware/NetworkIF$IfOperStatus;,IfOperStatus,1,0
2025970710,orElse,Optional<OSProcess>,(Loshi/software/os/OSProcess;)Loshi/software/os/OSProcess;,OSProcess,1,0
2025970710,queryBitness,AbstractOperatingSystem,(I)I,int,1,0
2025970710,getProcessorCpuLoadBetweenTicks,CentralProcessor,([[J)[D,double[],1,0
2025970710,getSystemLoadAverage,CentralProcessor,(I)[D,double[],1,0
2025970710,getSystemLoadAverage,CentralProcessor,(I)[D,double[],1,1
2025970710,getSystemCpuLoadBetweenTicks,CentralProcessor,([J)D,double,1,0
2025970710,getUsbDevices,HardwareAbstractionLayer,(Z)Ljava/util/List;,List<UsbDevice>,1,0
