id,name,declaryngType,methodDescriptor,returnType,numArgument,hasConstants
1509198616064,pointXYZ,PointsBuilder<PolygonBuilder>,(DDD)Lorg/locationtech/spatial4j/shape/ShapeFactory$PolygonBuilder;,PolygonBuilder,3,0
1509198616064,pointXY,ShapeFactory,(DD)Lorg/locationtech/spatial4j/shape/Point;,Point,2,0
1509198616064,pointXY,ShapeFactory,(DD)Lorg/locationtech/spatial4j/shape/Point;,Point,2,1
1509198616064,pointXY,PointsBuilder,(DD)Lorg/locationtech/spatial4j/shape/T;,T,2,0
1509198616064,pointXY,PointsBuilder<LineStringBuilder>,(DD)Lorg/locationtech/spatial4j/shape/ShapeFactory$LineStringBuilder;,LineStringBuilder,2,0
1509198616064,pointXY,PointsBuilder<LineStringBuilder>,(DD)Lorg/locationtech/spatial4j/shape/ShapeFactory$LineStringBuilder;,LineStringBuilder,2,1
1509198616064,pointXY,PointsBuilder<MultiPointBuilder>,(DD)Lorg/locationtech/spatial4j/shape/ShapeFactory$MultiPointBuilder;,MultiPointBuilder,2,0
1509198616064,pointXY,PointsBuilder<MultiPointBuilder>,(DD)Lorg/locationtech/spatial4j/shape/ShapeFactory$MultiPointBuilder;,MultiPointBuilder,2,1
1509198616064,pointXY,PointsBuilder<HoleBuilder>,(DD)Lorg/locationtech/spatial4j/shape/ShapeFactory$PolygonBuilder$HoleBuilder;,HoleBuilder,2,0
1509198616064,pointXY,PointsBuilder<HoleBuilder>,(DD)Lorg/locationtech/spatial4j/shape/ShapeFactory$PolygonBuilder$HoleBuilder;,HoleBuilder,2,1
1509198616064,pointXY,PointsBuilder<PolygonBuilder>,(DD)Lorg/locationtech/spatial4j/shape/ShapeFactory$PolygonBuilder;,PolygonBuilder,2,0
1509198616064,pointXY,PointsBuilder<PolygonBuilder>,(DD)Lorg/locationtech/spatial4j/shape/ShapeFactory$PolygonBuilder;,PolygonBuilder,2,1
1509198616064,randomPointInEmptyShape,RectIntersectionTestHelper,(Lorg/locationtech/spatial4j/shape/S;)Lorg/locationtech/spatial4j/shape/Point;,Point,1,0
1509198616064,generateRandomShape,RectIntersectionTestHelper,(Lorg/locationtech/spatial4j/shape/Point;)Lorg/locationtech/spatial4j/shape/S;,S,1,0
1509198616064,relateXRange,Rectangle,(DD)Lorg/locationtech/spatial4j/shape/SpatialRelation;,SpatialRelation,2,0
1509198616064,relateXRange,Rectangle,(DD)Lorg/locationtech/spatial4j/shape/SpatialRelation;,SpatialRelation,2,1
1509198616064,relateYRange,Rectangle,(DD)Lorg/locationtech/spatial4j/shape/SpatialRelation;,SpatialRelation,2,0
1509198616064,getBuffered,Shape,(DLorg/locationtech/spatial4j/context/SpatialContext;)Lorg/locationtech/spatial4j/shape/Shape;,Shape,2,0
1509198616064,getBuffered,Shape,(DLorg/locationtech/spatial4j/context/SpatialContext;)Lorg/locationtech/spatial4j/shape/Shape;,Shape,2,1
1509198616064,lineString,ShapeFactory,(Ljava/util/List;D)Lorg/locationtech/spatial4j/shape/Shape;,Shape,2,0
